3;16;5
2;17;5
2;18;5
2;19;5
2;20;5
2;21;5
2;22;5
2;23;5
2;24;5
2;25;5
2;26;5
2;27;5
2;28;5
2;29;5
2;30;5
2;31;5
2;32;5
2;33;5
2;34;5
2;35;5
2;36;5
2;37;5
2;38;5
2;39;5
2;40;5
2;41;5
2;42;5
2;43;5
2;44;5
2;45;5
2;46;5
3;25;6
4;24;6
4;23;6
4;22;6
4;21;6
4;20;6
4;19;6
4;18;6
4;17;6
4;16;6
3;16;7
2;17;7
2;18;7
2;19;7
2;20;7
2;21;7
2;22;7
2;23;7
2;24;7
3;24;8
4;23;8
4;22;8
4;21;8
4;20;8
4;19;8
4;18;8
4;17;8
4;16;8
2;20;9
2;21;9
2;22;9
2;23;9
2;24;9
2;25;9
3;25;10
4;24;10
4;23;10
4;22;10
4;21;10
4;20;10
3;20;11
2;21;11
2;22;11
2;23;11
2;24;11
2;25;11
2;26;11
2;27;11
2;28;11
2;29;11
2;30;11
2;31;11
2;32;11
2;33;11
2;34;11
2;35;11
2;36;11
2;37;11
2;38;11
2;39;11
1;39;10
4;38;10
4;37;10
4;36;10
4;35;10
4;34;10
4;33;10
4;32;10
4;31;10
4;30;10
4;29;10
4;28;10
4;27;10
4;26;10
2;40;10
3;38;12
4;37;12
4;36;12
4;35;12
4;34;12
4;33;12
4;32;12
4;31;12
4;30;12
4;29;12
4;28;12
4;27;12
4;26;12
4;25;12
4;24;12
4;23;12
4;22;12
4;21;12
4;20;12
1;51;2
3;51;3
3;51;4
2;52;4
1;52;3
1;52;2
2;53;2
3;53;3
3;53;4
3;53;5
3;53;6
3;53;7
3;53;8
3;53;9
3;53;10
3;53;11
3;53;12
3;53;13
3;53;14
3;53;15
3;53;16
3;53;17
3;53;18
3;53;19
3;53;20
3;53;21
3;53;22
3;53;23
3;53;24
3;53;25
3;53;26
3;53;27
3;53;28
2;54;28
3;54;29
2;55;29
1;55;28
2;56;28
1;56;27
1;56;26
1;56;25
1;56;24
1;56;23
1;56;22
1;56;21
1;56;20
1;56;19
1;56;18
1;56;17
1;56;16
1;56;15
1;56;14
1;56;13
1;56;12
1;56;11
1;56;10
1;56;9
1;56;8
1;56;7
1;56;6
1;56;5
1;56;4
1;56;3
1;56;2
2;57;2
3;57;3
3;57;4
3;57;5
3;57;6
3;57;7
3;57;8
3;57;9
3;57;10
3;57;11
3;57;12
3;57;13
3;57;14
3;57;15
3;57;16
3;57;17
3;57;18
3;57;19
3;57;20
3;57;21
3;57;22
3;57;23
3;57;24
3;57;25
3;57;26
3;57;27
3;57;28
3;57;29
2;58;29
1;58;28
1;58;27
1;58;26
1;58;25
1;58;24
1;58;23
1;58;22
1;58;21
1;58;20
1;58;19
1;58;18
1;58;17
1;58;16
1;58;15
1;58;14
1;58;13
1;58;12
1;58;11
1;58;10
1;58;9
1;58;8
1;58;7
1;58;6
1;58;5
1;58;4
1;58;3
1;58;2
2;59;2
3;59;3
3;59;4
3;59;5
3;59;6
0;59;6
0;4;36
